KO,rab.all,rab.win.0,rab.win.1,diff.btw,diff.win,effect,overlap,name,method
KO_48,-1.7125301496307372,-2.478308977192781,3.5519015368508686,5.751143894502304,5.312418712055999,0.9809641484434892,0.15136972831553916,studyMovassagh_2021,ALDEx2
KO_49,3.012601704222795,1.8084305409986472,4.357081720319522,2.4296270969005485,4.523055845139181,0.5426442783576845,0.30273945288801074,studyMovassagh_2021,ALDEx2
KO_50,5.508736331400084,5.722431946557805,4.03993175928335,-1.5774658536582464,1.3193105513010477,-1.1106431320852308,0.12020000299285193,studyMovassagh_2021,ALDEx2
KO_51,4.917204595832752,5.4609235601724855,0.6075855915186796,-4.49506202026879,5.776477561433781,-0.6701474433044798,0.19320000164021628,studyMovassagh_2021,ALDEx2
KO_52,6.4355497815729485,6.656590337062743,4.947901196600364,-1.598307528185864,1.385196588945298,-1.067204628830816,0.12240000292935951,studyMovassagh_2021,ALDEx2
KO_53,1.9797482459257143,2.1068333257846796,1.6046739690250584,-0.43646477767199654,5.860845398179288,-0.06384602005077353,0.4561087783917322,studyMovassagh_2021,ALDEx2
KO_54,-6.387915474469808,-6.006673627509622,-8.628031992367553,-2.1938417570844195,11.5675647843069,-0.20672827845692907,0.34620000056624317,studyMovassagh_2021,ALDEx2
KO_55,-8.996223906153803,-8.62788190064164,-11.098598235049476,-2.720269658309867,6.718511194954853,-0.34905217910591707,0.3020000007827471,studyMovassagh_2021,ALDEx2
KO_56,-5.557314605416186,-6.484521976635711,0.8774829241460633,6.60310367431464,6.008202172424894,0.9165836048890974,0.18400000175387174,studyMovassagh_2021,ALDEx2
KO_57,4.954391716607943,5.181540855537591,3.3373787956289314,-1.6787461451580197,1.484761543384292,-1.0668342061047604,0.12320000290682141,studyMovassagh_2021,ALDEx2
KO_58,-9.751553098923335,-9.586884126302529,-10.777471398492553,-0.9574690721473811,5.57168868244877,-0.14575420821011859,0.4251149772598412,studyMovassagh_2021,ALDEx2
KO_59,-9.178593427476764,-9.393067803617956,-0.8055933932557364,5.76070040008713,8.393823769661742,0.6033180556912956,0.3147370533050134,studyMovassagh_2021,ALDEx2
KO_60,5.950246559061171,6.182780185248719,4.3598528786035065,-1.6893599848841232,1.5554326320747607,-1.0199240117082358,0.13037392793067284,studyMovassagh_2021,ALDEx2
KO_61,4.773143067598327,5.032082877557437,3.3261398384702794,-1.5761642432047824,1.611279914678204,-0.918121483658433,0.15760000214920544,studyMovassagh_2021,ALDEx2
KO_62,5.603476089896237,5.827660520144692,4.065959402491632,-1.643769849512628,1.510493469967996,-1.027403492540758,0.13720000255400483,studyMovassagh_2021,ALDEx2
KO_63,6.135541937057933,6.356230892126346,4.779258917492684,-1.4661570792715657,1.2835684406846624,-1.072915506872134,0.12560000284089226,studyMovassagh_2021,ALDEx2
KO_64,-6.35232841360736,-6.672481215130278,-1.0216082808621252,3.6547596267493354,7.877095757942709,0.42960953495108034,0.33420000062094496,studyMovassagh_2021,ALDEx2
KO_65,4.22977574259521,4.466732703116879,2.5179339439637607,-1.7752624904894097,1.6210355123487838,-1.0483547889150213,0.1332000026474325,studyMovassagh_2021,ALDEx2
KO_66,4.986995590289028,5.206627203111653,3.438413921919689,-1.6895131508058747,1.4423356930219948,-1.0676893529247686,0.1204000029869862,studyMovassagh_2021,ALDEx2
KO_67,3.492578574124989,3.721447990315795,2.027779957500961,-1.525285533845126,1.4461341085256585,-0.9798319340360768,0.14260000243596063,studyMovassagh_2021,ALDEx2
KO_68,1.7500989983130681,2.2918291867511518,-2.524065560842341,-4.404817291588204,5.332387718201048,-0.7309990580469221,0.20240000153622914,studyMovassagh_2021,ALDEx2
KO_69,5.482829303048229,5.717986818351184,3.8524184672004407,-1.69091123005785,1.593937092270394,-1.0200638299140792,0.1313737279458011,studyMovassagh_2021,ALDEx2
KO_70,-8.936005423292801,-8.57746313028807,-10.976404574529074,-2.6042545596863347,6.584536877720751,-0.36783984920971047,0.3137372532701238,studyMovassagh_2021,ALDEx2
KO_71,2.245824705779974,2.5349850107915355,0.7584400463923506,-1.5725263915863446,1.5614664245015542,-0.9531986579688312,0.15216956833260703,studyMovassagh_2021,ALDEx2
KO_72,-6.628466760740671,-7.088952051522294,-2.7422705389620203,3.645876076819418,4.804304231242114,0.6814263582021232,0.22615477034962883,studyMovassagh_2021,ALDEx2
KO_73,-7.142157187571341,-7.464663285834454,-3.6230327751753215,3.123730750521708,5.638937078619041,0.49970285586368957,0.2955408926396826,studyMovassagh_2021,ALDEx2
KO_74,-6.114469682209587,-7.004274794960262,1.784616614362859,7.911351186313114,6.777367195882347,0.9608460593311148,0.18776244921594532,studyMovassagh_2021,ALDEx2
KO_75,-9.001753501899168,-8.71993751652265,-10.72269742865711,-1.8515565175616011,5.409765395597891,-0.2946670769755991,0.3577284548249498,studyMovassagh_2021,ALDEx2
KO_76,-9.102984660011876,-9.25732485133923,-7.183696532206713,3.3048537081522644,8.678586593114602,0.40213389022497864,0.36292741501093745,studyMovassagh_2021,ALDEx2
KO_77,3.709046994865823,4.049029170983682,2.2100906719517717,-1.6768453292374565,1.8989396634898652,-0.7711166023585102,0.18900000169081618,studyMovassagh_2021,ALDEx2
KO_78,5.369915889156124,5.60169093851793,3.724506426123403,-1.7579867427661395,1.6062645607050778,-1.0387969354512772,0.1313737279458011,studyMovassagh_2021,ALDEx2
